"","Photo","gs","Starch","NSC","SM","fluor","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"139","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","(2.29,3.3]","(11.9,20.7]","0.000","-1","0","0","-1","0","1","0","1","-1","1"
"140","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","0.000","-1","1","0","-1","1","1","1","1","-1","1"
"141","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","0.000","-1","1","1","-1","1","1","1","1","-1","1"
"142","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(38.4,47.2]","0.000","0","1","1","-1","1","1","1","1","-1","1"
"143","[-4.07,0.638]","[0.00895,0.142]","(59.2,78.3]","(2.29,3.3]","(20.7,29.6]","0.000","0","1","1","0","1","1","1","1","0","1"
"144","[-4.07,0.638]","[0.00895,0.142]","(59.2,78.3]","(2.29,3.3]","(11.9,20.7]","0.000","0","1","1","0","1","1","1","1","0","1"
"121","[-4.07,0.638]","(0.142,0.274]","(59.2,78.3]","(1.27,2.29]","(29.6,38.4]","0.000","-1","-1","-1","-1","0","0","-1","-1","-1","-1"
"122","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","[0.254,1.27]","(38.4,47.2]","0.000","-1","-1","0","-1","0","0","-1","-1","-1","-1"
"123","[-4.07,0.638]","(0.142,0.274]","(59.2,78.3]","[0.254,1.27]","(38.4,47.2]","0.000","-1","-1","0","-1","0","1","0","0","-1","-1"
"124","[-4.07,0.638]","[0.00895,0.142]","(59.2,78.3]","(1.27,2.29]","(29.6,38.4]","0.000","-1","-1","0","-1","0","1","0","0","-1","-1"
"125","[-4.07,0.638]","(0.142,0.274]","(59.2,78.3]","[0.254,1.27]","(29.6,38.4]","0.000","-1","-1","1","-1","0","1","0","0","-1","-1"
"126","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","[0.254,1.27]","(29.6,38.4]","0.000","-1","0","1","-1","1","1","0","0","-1","-1"
"127","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","[0.254,1.27]","(29.6,38.4]","0.000","-1","0","1","-1","1","1","0","0","-1","0"
"128","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","[0.254,1.27]","(38.4,47.2]","0.000","-1","0","1","-1","1","1","0","1","-1","0"
"129","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","[0.254,1.27]","(29.6,38.4]","0.000","-1","0","1","-1","1","1","1","1","0","0"
"130","[-4.07,0.638]","(0.142,0.274]","(78.3,97.4]","(1.27,2.29]","(29.6,38.4]","0.000","-1","0","1","-1","1","1","1","1","0","0"
"131","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","[0.254,1.27]","(29.6,38.4]","0.000","-1","1","1","0","1","1","1","1","0","1"
"132","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","[0.254,1.27]","(20.7,29.6]","0.000","-1","1","1","0","1","1","1","1","0","1"
"157","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(3.3,4.32]","(11.9,20.7]","[0.706,0.764]","0","0","-1","-1","-1","-1","0","-1","-1","-1"
"158","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","-1","-1","-1","0","1","-1","-1","-1"
"159","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","0","1","-1","-1","-1","0","1","-1","-1","-1"
"160","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","-1","-1","-1","0","1","0","-1","-1"
"161","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(4.32,5.34]","(11.9,20.7]","[0.706,0.764]","0","1","-1","-1","-1","1","1","0","-1","0"
"162","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","-1","-1","-1","1","1","0","-1","0"
"163","(5.33,10]","(0.406,0.538]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","-1","-1","-1","1","1","0","-1","0"
"164","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(4.32,5.34]","(11.9,20.7]","[0.706,0.764]","1","1","-1","-1","-1","1","1","0","-1","0"
"165","(0.638,5.33]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","-1","0","-1","1","1","1","-1","0"
"166","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(4.32,5.34]","(20.7,29.6]","[0.706,0.764]","1","1","0","0","0","1","1","1","-1","0"
"167","(0.638,5.33]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","0","0","0","1","1","1","-1","1"
"168","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","1","1","0","0","1","1","1","1","-1","1"
"145","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","-1","0","-1","-1","-1","0","0","-1","-1","-1"
"146","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","-1","0","-1","-1","-1","0","1","-1","-1","-1"
"147","(5.33,10]","(0.274,0.406]","(40.1,59.2]","(1.27,2.29]","(29.6,38.4]","[0.706,0.764]","0","0","-1","-1","-1","0","1","-1","-1","-1"
"148","(5.33,10]","(0.406,0.538]","[1.89,21.1]","(4.32,5.34]","(29.6,38.4]","[0.706,0.764]","0","1","0","-1","-1","0","1","-1","-1","-1"
"149","(5.33,10]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","1","0","-1","-1","1","1","0","-1","-1"
